user,ae_score,if_score,rule_score,is_insider,scenario
user_0093,0.054374,0.327496,0.0,0,2
user_0094,0.033127,0.379464,0.0,0,1
user_0095,0.087697,0.685743,1.0,0,2
user_0096,0.050342,0.296876,2.0,0,2
user_0097,0.012508,0.948858,2.0,0,3
user_0098,0.083162,0.916348,1.0,0,1
user_0099,0.371892,0.48091,3.0,0,3
user_0100,0.166609,0.328361,1.0,0,3
user_0101,0.509053,0.535435,0.0,0,1
user_0102,0.337963,0.84856,0.0,0,1
user_0103,0.184617,0.652587,3.0,0,2
user_0104,0.305622,0.804392,0.0,0,3
user_0105,0.120051,0.532722,3.0,0,2
user_0106,0.176353,0.632918,1.0,0,3
user_0107,0.062792,0.288156,0.0,0,1
user_0108,0.036176,0.734893,1.0,0,2
user_0109,0.354228,0.202405,2.0,0,1
user_0110,0.023171,0.694798,1.0,0,3
user_0111,0.031031,0.860719,3.0,0,1
user_0112,0.051236,0.132103,2.0,0,2
user_0113,0.15978,0.61438,1.0,0,0
user_0114,0.068345,0.095096,2.0,0,3
user_0115,0.113041,0.725716,3.0,0,1
user_0116,0.356682,0.084493,1.0,0,1
user_0117,0.254611,0.93594,0.0,0,2
user_0118,0.193429,0.137408,1.0,0,1
user_0119,0.028232,0.95888,3.0,0,3
user_0120,0.19643,0.800884,0.0,0,2
user_0121,0.075056,0.593682,3.0,0,2
user_0122,0.020439,0.782624,2.0,0,0
user_0123,0.065964,0.795115,2.0,0,0
user_0124,0.011652,0.946027,1.0,0,1
user_0125,0.151124,0.253383,3.0,0,3
user_0126,0.16047,0.590076,0.0,0,3
user_0127,0.048603,0.095049,1.0,0,2
user_0128,0.007571,0.616166,1.0,0,2
user_0129,0.450739,0.171291,1.0,0,1
user_0130,0.133406,0.564951,1.0,0,0
user_0131,0.245752,0.572431,0.0,0,0
user_0132,0.058263,0.465985,0.0,0,1
user_0133,0.276853,0.522632,0.0,0,1
user_0134,0.271052,0.763923,2.0,0,0
user_0135,0.015381,0.799245,1.0,0,1
user_0136,0.897014,0.492153,2.0,1,0
user_0137,0.111243,0.599593,2.0,0,2
user_0138,0.230836,0.931236,2.0,0,3
user_0139,0.040246,0.119734,2.0,0,2
user_0140,0.775292,0.117104,2.0,0,1
user_0141,0.047272,0.087709,2.0,0,1
user_0142,0.266539,0.657863,2.0,0,1
user_0143,0.076476,0.418608,2.0,0,0
user_0144,0.128666,0.774321,1.0,0,2
user_0145,0.08721,0.671231,0.0,0,2
user_0146,0.936081,0.333638,3.0,1,0
user_0147,0.077999,0.898367,1.0,0,1
user_0148,0.101234,0.762532,2.0,0,1
user_0149,0.004743,0.270535,0.0,0,0
user_0150,0.262173,0.364192,1.0,0,2
user_0151,0.414462,0.31444,2.0,0,2
user_0152,0.095944,0.157612,2.0,0,2
user_0153,0.562177,0.147783,2.0,0,2
user_0154,0.027759,0.936127,1.0,0,3
user_0155,0.459878,0.437904,3.0,0,3
user_0156,0.846543,0.38332,2.0,0,2
user_0157,0.110427,0.729686,3.0,0,3
user_0158,0.402464,0.552993,2.0,0,1
user_0159,0.020961,0.93614,2.0,0,3
user_0160,0.031541,0.780301,3.0,0,3
user_0161,0.221715,0.47937,0.0,0,2
user_0162,0.162237,0.376359,3.0,0,3
user_0163,0.047557,0.986632,3.0,0,2
user_0164,0.814229,0.71776,2.0,0,2
user_0165,0.123836,0.951195,2.0,0,1
user_0166,0.818217,0.118479,2.0,0,3
user_0167,0.059176,0.850534,1.0,0,2
user_0168,0.126349,0.637074,3.0,0,3
user_0169,0.058493,0.121922,0.0,0,1
user_0170,0.050257,0.588258,1.0,0,3
user_0171,0.352349,0.686096,2.0,0,0
user_0172,0.091918,0.012303,3.0,0,0
user_0173,0.221203,0.454318,1.0,0,2
user_0174,0.049991,0.8254,1.0,0,2
user_0175,0.030723,0.295359,0.0,0,3
user_0176,0.188666,0.458548,0.0,0,1
user_0177,0.234089,0.442314,0.0,0,2
user_0178,0.157037,0.301927,0.0,0,2
user_0179,0.196088,0.918442,3.0,0,3
user_0180,0.168261,0.781294,3.0,0,2
user_0181,0.180334,0.110588,3.0,0,1
user_0182,0.372355,0.997035,0.0,0,3
user_0183,0.466289,0.8792,0.0,0,0
user_0184,0.109387,0.283908,1.0,0,3
user_0185,0.014986,0.836897,2.0,0,0
user_0186,0.231823,0.10642,1.0,0,1
user_0187,0.139747,0.999105,1.0,0,3
user_0188,0.403037,0.665685,0.0,0,2
user_0189,0.172492,0.650125,2.0,0,3
user_0190,0.023165,0.090441,1.0,0,2
user_0191,0.173274,0.897033,0.0,0,2
user_0192,0.094538,0.029,2.0,0,1
user_0193,0.019014,0.240828,3.0,0,0
user_0194,0.045226,0.143022,0.0,0,0
user_0195,0.574059,0.776768,1.0,0,1
user_0196,0.066542,0.198204,3.0,0,0
user_0197,0.042623,0.910638,2.0,0,2
user_0198,0.073343,0.656269,3.0,0,3
user_0199,0.341418,0.036163,1.0,0,3
